Topic	Count	Name	Representation
-1	60390	-1_temps_yeux_tête_femme	['temps', 'yeux', 'tête', 'femme', 'chose', 'voix', 'porte', 'fit', 'air', 'voir']
0	1820	0_pouvais_sentais_savais_mère	['pouvais', 'sentais', 'savais', 'mère', 'porte', 'temps', 'chose', 'voyais', 'père', 'corps']
1	1113	1_jirel_yeux_visage_corps	['jirel', 'yeux', 'visage', 'corps', 'lumière', 'eau', 'cheveux', 'femme', 'tête', 'jambes']
2	895	2_dis_pouvais_chose_savais	['dis', 'pouvais', 'chose', 'savais', 'yeux', 'mère', 'voulais', 'tête', 'envie', 'voir']
3	889	3_corps_yeux_visage_mains	['corps', 'yeux', 'visage', 'mains', 'tête', 'coup', 'jambes', 'fit', 'gauche', 'cheveux']
4	753	4_docteur_médecin_dr_infirmière	['docteur', 'médecin', 'dr', 'infirmière', 'clinique', 'régine', 'malade', 'hôpital', 'lherbier', 'médecins']
5	518	5_bateau_eau_navire_pont	['bateau', 'eau', 'navire', 'pont', 'poissons', 'vent', 'sable', 'bord', 'vagues', 'coque']
6	507	6_chiens_kehlweiler_akrèn_animal	['chiens', 'kehlweiler', 'akrèn', 'animal', 'porte', 'tête', 'bête', 'sukie', 'yeux', 'dogtinder']
7	476	7_planète_espace_cemp_terre	['planète', 'espace', 'cemp', 'terre', 'planètes', 'beyle', 'silkies', 'vaisseau', 'système', 'orbite']
8	431	8_mère_savait_père_ans	['mère', 'savait', 'père', 'ans', 'femme', 'aimait', 'jour', 'voulait', 'faisait', 'enfants']
9	388	9_voiture_route_chauffeur_camion	['voiture', 'route', 'chauffeur', 'camion', 'volant', 'voitures', 'véhicule', 'conducteur', 'arrière', 'portière']
10	366	10_murs_château_fenêtres_mur	['murs', 'château', 'fenêtres', 'mur', 'étage', 'porte', 'maison', 'rue', 'entrée', 'maisons']
11	359	11_cigarette_cigarettes_fumée_tabac	['cigarette', 'cigarettes', 'fumée', 'tabac', 'paquet', 'fume', 'fumer', 'alluma', 'dis', 'cigare']
12	350	12_livre_livres_littérature_auteur	['livre', 'livres', 'littérature', 'auteur', 'écrire', 'écrivain', 'œuvre', 'écrit', 'lecteur', 'lire']
13	320	13_bureau_police_femme_heures	['bureau', 'police', 'femme', 'heures', 'porte', 'commissaire', 'téléphone', 'demanda', 'secrétaire', 'lettre']
14	266	14_mariage_épouser_femme_divorce	['mariage', 'épouser', 'femme', 'divorce', 'veux', 'enfants', 'mariés', 'besoin', 'épouse', 'mieux']
15	256	15_catlin_dieux_chinois_bronzes	['catlin', 'dieux', 'chinois', 'bronzes', 'tzu', 'congrès', 'qin', 'lusitania', 'flotte', 'démosthène']
16	253	16_arbres_arbre_forêt_fleurs	['arbres', 'arbre', 'forêt', 'fleurs', 'feuilles', 'branches', 'plantes', 'terre', 'racines', 'champignons']
17	230	17_calife_tèmudjin_maître_abassa	['calife', 'tèmudjin', 'maître', 'abassa', 'djamouqa', 'qasar', 'toghril', 'palais', 'kèrèit', 'merkit']
18	222	18_bataillon_biên_diên biên_diên	['bataillon', 'biên', 'diên biên', 'diên', 'viets', 'parachutistes', 'compagnie', 'lieutenant', 'légionnaires', 'pc']
19	218	19_desprats_cité_appartement_garlonne	['desprats', 'cité', 'appartement', 'garlonne', 'séréna', 'ostrer', 'vraiment', 'wishman', 'demanda', 'regarde']
20	216	20_allemands_français_russes_armée	['allemands', 'français', 'russes', 'armée', 'française', 'général', 'allemand', 'lacenaire', 'révolution', 'ministre']
21	214	21_mort_humains_âme_faut	['mort', 'humains', 'âme', 'faut', 'vivre', 'chose', 'humanité', 'science', 'êtres', 'société']
22	208	22_mère_père_parents_dis	['mère', 'père', 'parents', 'dis', 'veux', 'enfants', 'besoin', 'faucon', 'choses', 'ans']
23	181	23_jésus_objets objets_seigneur_dieux	['jésus', 'objets objets', 'seigneur', 'dieux', 'kernik', 'père', 'jérusalem', 'maligou', 'objets', 'prêtre']
24	169	24_seagull_moonbird_oiseau_ailes	['seagull', 'moonbird', 'oiseau', 'ailes', 'skiz', 'birdlip', 'oiseaux', 'baccarat', 'dragon', 'insecte']
25	155	25_tibbie_diggan_miramonte_abuelita	['tibbie', 'diggan', 'miramonte', 'abuelita', 'soso', 'rawley', 'valoria', 'huff', 'ganaderia', 'mexicain']
26	148	26_train_gare_voyageurs_métro	['train', 'gare', 'voyageurs', 'métro', 'quai', 'wagons', 'wagon', 'station', 'trains', 'compartiment']
27	145	27_étrangleur_morganna_cass_kantana	['étrangleur', 'morganna', 'cass', 'kantana', 'devane', 'yassif', 'pygmées', 'brauxton', 'lieutenant', 'femme']
28	143	28_commissaire_dancourt_inspecteur_police	['commissaire', 'dancourt', 'inspecteur', 'police', 'fassio', 'policier', 'enquête', 'boulle', 'dab', 'shérif']
29	141	29_michèle_braden_usine_armstead	['michèle', 'braden', 'usine', 'armstead', 'caporal', 'technic', 'fuentès', 'trader', 'makaire bleu', 'makaire']
30	140	30_kif_pyanfar_jik_sikkukkut	['kif', 'pyanfar', 'jik', 'sikkukkut', 'hakkikt', 'mahendo', 'dieux', 'chanur', 'hilfy', 'haral']
31	130	31_brumbaugh_bétail_ranch_seccombe	['brumbaugh', 'bétail', 'ranch', 'seccombe', 'venneford', 'betteraves', 'centennial', 'éleveurs', 'terre', 'skimmerhorn']
32	130	32_lieutenant_capitaine_cops_commandant	['lieutenant', 'capitaine', 'cops', 'commandant', 'officier', 'chef', 'sanselme', 'général', 'fantin', 'gouverneur']
33	128	33_femmes_femme_hommes_conaire	['femmes', 'femme', 'hommes', 'conaire', 'amazones', 'veux', 'faut', 'mecs', 'féministes', 'filles']
34	128	34_avocat_procès_jurés_tribunal	['avocat', 'procès', 'jurés', 'tribunal', 'président', 'magistrat', 'affaire', 'audience', 'step', 'témoin']
35	120	35_porte_escalier_marches_ascenseur	['porte', 'escalier', 'marches', 'ascenseur', 'baher', 'ouvrit', 'couloir', 'mur', 'corridor', 'immeuble']
36	116	36_walt_hôpital_police_demanda	['walt', 'hôpital', 'police', 'demanda', 'phéronomes', 'triss', 'fit', 'type', 'regarda', 'murmura']
37	111	37_clément_bejardy_sécateur_brossier	['clément', 'bejardy', 'sécateur', 'brossier', 'pouchet', 'type', 'tchik', 'vandoosler', 'vauquer', 'bonnot']
38	107	38_bouteille_sukie_verre_bière	['bouteille', 'sukie', 'verre', 'bière', 'bouteilles', 'tooley', 'verres', 'boire', 'alcool', 'table']
39	106	39_président_rossinante_ministre_darnish	['président', 'rossinante', 'ministre', 'darnish', 'hulvey', 'gouverneur', 'présidente', 'politique', 'packer', 'busheïn']
40	99	40_aimer_frédi_fouldroule_veux	['aimer', 'frédi', 'fouldroule', 'veux', 'amoureuse', 'dis', 'vivre', 'sentiments', 'tooley', 'cœur']
