t_value	p_value	topic_words
4.910949188688393	2.1879445823912966e-06	['baiser', 'lèvres', 'embrasser', 'murmura', 'bouche', 'étreinte', 'désir', 'corps', 'qaasi', 'embrassa']
3.873975856888665	0.0001508590255475769	['mariage', 'épouser', 'femme', 'divorce', 'veux', 'enfants', 'mariés', 'besoin', 'épouse', 'mieux']
3.7656134658400444	0.000226620351691349	['chambre', 'marylène', 'porte', 'joëlle', 'nuit', 'cuisine', 'sommeil', 'réveilla', 'bruit', 'ouvrit']
3.529053998051383	0.0005343984396185024	['beeding', 'répondit', 'sûre', 'répliqua', 'robe', 'femme', 'mère', 'kellogg', 'dîner', 'hôtesse']
2.9897276303373297	0.0030715382696812087	['whitewell', 'mariage', 'corla', 'métilde', 'novinha', 'femme', 'lettre', 'cholen', 'allait', 'aimait']
2.9174092417245427	0.003937924216674455	['bureau', 'police', 'femme', 'heures', 'porte', 'commissaire', 'téléphone', 'demanda', 'secrétaire', 'lettre']
2.856460030931581	0.004750733218387167	['aimer', 'frédi', 'fouldroule', 'veux', 'amoureuse', 'dis', 'vivre', 'sentiments', 'tooley', 'cœur']
2.8503439931986243	0.004885079743372199	['porte', 'escalier', 'chambre', 'ouvrit', 'murdoch', 'skidmore', 'étage', 'aimée', 'femme', 'cuisine']
2.819033027655485	0.005438379857508928	['sœur', 'carista', 'cousin', 'cousin dunkam', 'tante', 'bague', 'tante père', 'enquêteurs privés', 'genre discussion', 'cashmere']
2.572508854754311	0.010940276822073738	['natchez', 'pr hyssop', 'hyssop', 'edmonds', 'boire', 'bouteille', 'garrison', 'pr', 'penthotal', 'verre']
2.4725169577945145	0.014335166459165313	['mme albici', 'knackbusch', 'terre sautées', 'pommes terre sautées', 'albici', 'meubles', 'mcgowan', 'chambre', 'sautées', 'confrère']
2.432020731679087	0.016130339925761215	['thérèse', 'françois', 'agnès', 'fiancé', 'lenno', 'épouser', 'joëlle', 'félicité', 'grenoble', 'mariage']
2.405901231325293	0.01710409112057551	['fleurs', 'sénateur', 'régine', 'stauminaup', 'feuilles', 'noires', 'boutons mandarins', 'jaunes', 'mme matchett', 'piscine']
2.3028245109560466	0.022525792293181943	['avé', 'miramar', 'consul', 'dessert', 'marmite soupe', 'chocolat', 'soupe', 'tipi', 'casserole', 'fête']
2.265867418995613	0.024321556677474588	['mère', 'savait', 'père', 'ans', 'femme', 'aimait', 'jour', 'voulait', 'faisait', 'enfants']
2.2597356423545825	0.025154418688382696	['hennegan', 'yudel', 'dîner', 'touristes moyens', 'maxicorp', 'gomina', 'prit assiette', 'cuisine', 'bemie', 'œilleton']
2.213281948856275	0.02799473985312887	['verre', 'verres', 'boire', 'pudding', 'mme cipolla', 'cipolla', 'tasse', 'thé', 'grindley', 'irène']
2.042529762144047	0.04248891690538158	['robe', 'oklie', 'broche', 'oklie dodds', 'sulie', 'dodds', 'bazelle', 'fermoirs', 'pull', 'etait']
1.9781970336273644	0.0494846735989137	['carthy', 'voyagiste', 'bébé', 'mme carthy', 'gaël', 'fatiguée', 'satin bleu', 'embrassais', 'manson', 'bébés']
1.9745698027755823	0.0501366072503924	['tibbie', 'diggan', 'miramonte', 'abuelita', 'soso', 'rawley', 'valoria', 'huff', 'ganaderia', 'mexicain']
1.9375360201694118	0.054568255324261225	['sénateur', 'larkspur', 'kinkaid', 'khazar', 'chérie', 'mère', 'tchartoff', 'daldrin', 'père', 'garçon']
1.9223666060982671	0.056466324460256824	['redcloud', 'jiggs', 'navajo', 'zhdanov', 'mère', 'weaver', 'mister jiggs', 'sourire', 'indienne', 'vieille']
1.8753411315311228	0.062417313818612874	['baumann', 'shaughnessy', 'robilliard', 'bâte', 'inspecteur byram', 'présidente', 'rencontrer', 'byram', 'wexford', 'cares']
