t_value	p_value	topic_words
4.540311455110073	1.0211110760234256e-05	['pouvais', 'sentais', 'savais', 'mère', 'porte', 'temps', 'chose', 'voyais', 'père', 'corps']
4.262668062117295	3.2797026061923525e-05	['train', 'gare', 'voyageurs', 'métro', 'quai', 'wagons', 'wagon', 'station', 'trains', 'compartiment']
4.15748084557665	5.2768490960124735e-05	['allemands', 'français', 'russes', 'armée', 'française', 'général', 'allemand', 'lacenaire', 'révolution', 'ministre']
3.7311864756797912	0.00026678470214732075	['livre', 'livres', 'littérature', 'auteur', 'écrire', 'écrivain', 'œuvre', 'écrit', 'lecteur', 'lire']
3.296002912532204	0.0011412798216675457	['dis', 'pouvais', 'chose', 'savais', 'yeux', 'mère', 'voulais', 'tête', 'envie', 'voir']
3.0979570897492428	0.0022873393279173393	['étang', 'sills', '80 100', 'mots croisés', 'ans', 'irthia', 'enfermé', 'deucalio', 'mue', 'wishman']
3.032228500452341	0.002851375897187089	['rue', 'ansart', 'boulevard', 'café', 'hôtel', 'soir', 'himes', 'quartier', 'tournon', 'restaurant']
2.903477223105856	0.004152826909054899	['jésus', 'objets objets', 'seigneur', 'dieux', 'kernik', 'père', 'jérusalem', 'maligou', 'objets', 'prêtre']
2.816298533477233	0.005460720951738603	['hulann', 'kanin', 'corps', 'construct', 'fouldroule', 'couleur', 'poils', 'calligraphe', 'yeux', 'stratten']
2.811478497068758	0.005554116660078635	['arbres', 'arbre', 'forêt', 'fleurs', 'feuilles', 'branches', 'plantes', 'terre', 'racines', 'champignons']
2.7602025599109514	0.006471882714225971	['peinture', 'peintre', 'tableaux', 'peintres', 'artiste', 'peindre', 'portrait', 'tableau', 'œuvres', 'malmora']
2.6571803801388043	0.008585985253795756	['odeur', 'odeurs', 'parfum', 'gozals', 'parfums', 'biltine', 'petitjean', 'sunapee', 'ivresse', 'souvenirs']
2.650125267500649	0.00873337398876997	['mort', 'humains', 'âme', 'faut', 'vivre', 'chose', 'humanité', 'science', 'êtres', 'société']
2.629172976125112	0.009399448513514866	['rhada', 'louange', 'prisko', 'terre', 'vaisseau vide', 'inspecteur bertholet', 'fleuve', 'royaume', 'enfers', 'bertholet']
2.6161458590149516	0.009762194489845371	['revue', 'polska', 'auteur', 'chauve', 'kürz', 'nourissier', 'varsovie', 'amis', 'envierges', 'rue envierges']
2.584175284239204	0.010655655258149124	['prêtre', 'puymartin', 'père', 'haguet', 'cabusse', 'vandoosler', 'général terrazas', 'terrazas', 'abbé', 'évêque']
2.5816434181078987	0.010631878056098052	['butron', 'kœlman', 'quipuzcoa', 'ventrée', 'père', 'lycée', 'brossier', 'comptable', 'quille', 'commissaire boulle']
2.5765961300240376	0.010808739689105113	['pianos', 'quade', 'nimier', 'cercueil', 'cimetière', 'nabounassar', 'kraken', 'pigmy', 'fœtus', 'morts vivants']
2.483121050004477	0.013959492437327326	['loose', 'électriques', 'musée', 'sern', 'rue', 'jallud', 'méduse musée', 'caravane', 'cires', 'lumière']
2.4108496641554993	0.017047416629657836	['fouldroule', 'portières', 'usine', 'caisses', 'pincée poussière', 'pris ligne', 'régulier gouttes', 'soudure', 'casque', 'grises']
2.3950210107751615	0.017829314147757444	['juifs', 'juif', 'israël', 'rabbi', 'raverdy', 'rabbin', 'juive', 'israël raverdy', 'egypte', 'hérode']
2.2857210852281566	0.023512566516400317	['cheval', 'chevaux', 'djinnih', 'galop', 'cavalière', 'sabots', 'bagrin', 'cible', 'selle', 'banshee']
2.2207195937646693	0.027791379371966834	['picasso', 'doigts gourds', 'pluie', 'réfectoire', 'gourds', 'maîtresse époque', 'soucis soucis', 'chaussures propres', 'tores', 'vent tourné']
2.1786446791304064	0.030636171585911618	['français', 'langue', 'latin', 'participe', 'chanteloup', 'graffigny', 'grec', 'gabrièle', 'verbes', 'moros']
2.1766680801841845	0.03093523855925812	['sandorf', 'bélonie', 'tentes', 'temudjin', 'vaches', 'stéphane', 'rhada', 'chevaux', 'forêt', 'blancheur']
2.153023400940208	0.03284546038727111	['yudel', 'amnésie', 'bande', 'tricheurs', 'créativité', 'chocolaté', 'tricheuses', 'profils', 'oa', 'gaws']
1.9967846426353881	0.047553104322744795	['comète', 'brionne', 'quéré', 'seigneur', 'charge écuyer', 'comète comète', 'délassement', 'khym', 'compagnonnage', 'isambour']
1.9900117691529975	0.04824237451734326	['bocager', 'sel', 'garçons', 'noms garçons', 'dépôt armes', 'copeau', 'ombres', 'faut attaquer', 'oiseaux', 'briancourt']
1.9754859447403674	0.04999642091862638	['chrétiens', 'turcs', 'soldats', 'soldats chrétiens', 'hommes', 'pèlerins', 'fleuve', 'père ascelin', 'ascelin', 'troupes']
1.9434013709950575	0.053774702620947704	['boccherini', 'schumann', 'musique', 'opéra', 'orengo', 'malibran', 'théâtre', 'clown', 'bannister', 'géricault']
1.8758770230440927	0.06246084255753839	['mongougeot', 'maîtresse titre', 'edmée', 'amédée', 'césar', 'pompadour', 'éditions soir', 'céramiste', 'archiduc', 'ancien']
1.8758770230440913	0.062460842557538594	['abbé', 'bernerie', 'payable', 'pompadour', 'ventôse', 'daraïn', 'maurras', 'glazer', 'dépêche', '000']
1.850371486693734	0.06610638130503943	['pélagie', 'abassa', '11 heures', 'sourate', 'baltimore', 'bishop', 'baltimore baltimore', '11', 'inspecteur académie', 'joué joué']
1.8417010389895632	0.06718995343820132	['freetime', 'gwener', 'ostrogot', 'pouvais', 'madère', 'aperth', 'savais', 'exéquateur', 'regardé', 'murillo']
1.8400638755103802	0.06734767855884706	['totor', 'costermann', 'raphaële', 'herth', 'benitez', 'club', 'chinois', 'henekeys', 'tables', '252']
1.8397405603004544	0.06775858665522771	['édouard', 'cédric', 'arche', 'crainte mêlée', 'maison autriche', 'noé', 'consigne', 'sorte crainte', 'mordécaï', 'autriche']
1.8391780618560205	0.06762422149515503	['femmes', 'femme', 'hommes', 'conaire', 'amazones', 'veux', 'faut', 'mecs', 'féministes', 'filles']
1.8086988527538874	0.07236874352033794	['avion', 'aéroport', 'passeport', 'danois', 'sern', 'chacal', 'hôtesse', 'valise', 'kowalski', 'signor']
1.793517097519932	0.07492870359152431	['calife', 'tèmudjin', 'maître', 'abassa', 'djamouqa', 'qasar', 'toghril', 'palais', 'kèrèit', 'merkit']
1.7187327727925532	0.0877456218185211	['édit', 'huguenots', 'ronsard', 'médicis', 'royaume', 'françois', 'charry', 'réformés', 'châtel', 'cour']
1.6844336581443842	0.09404920459062363	['alginate', 'pâte', 'goossens', 'chef laboratoire', 'outil', 'rats', 'catalyseur', 'marteau', 'modèle', 'flexibles']
1.65361526600935	0.09999710157199976	['lauzerte', 'hélix', 'irène', 'mé', 'geneviève', 'azaïs', 'pirouettes', 'rené', 'pérouse', 'essex street']
1.6309203153252312	0.10455344669066055	['mère', 'père', 'parents', 'dis', 'veux', 'enfants', 'besoin', 'faucon', 'choses', 'ans']
1.6163995717134783	0.10757366770329416	['bateau', 'eau', 'navire', 'pont', 'poissons', 'vent', 'sable', 'bord', 'vagues', 'coque']
1.572409251104028	0.11736049003438528	['kg', 'gerfaut', 'pain', 'café', 'bière', 'repas', 'salade', 'jambon', 'kaltz', 'secrétaire etat']
1.5635197280792825	0.11992890637040518	['ravot', 'fourrures', 'atelier', 'gués', 'coqs', 'doutes doutes', 'badineau', 'atelier ravot', 'trash', 'aubel']
