LLR_value	p_value	topic_words
199.99472246953962	2.0940332486065616e-45	['planète', 'espace', 'cemp', 'terre', 'planètes', 'beyle', 'silkies', 'vaisseau', 'système', 'orbite']
190.1290808740747	2.979583260221125e-43	['commissaire', 'dancourt', 'inspecteur', 'police', 'fassio', 'policier', 'enquête', 'boulle', 'dab', 'shérif']
183.59722469607178	7.944052744187262e-42	['yudel', 'weizmann', 'majola', 'thandi', 'boutique', 'nieuwenhuysen', 'hymie', 'muntu', 'yudel savait', 'johannesburg']
150.6659709034853	1.2399278697932814e-34	['finch', 'quince', 'tibbett', 'goodman', 'smeed', 'macey', 'hamstone', 'inspecteur', 'bingham', 'commissaire']
115.94167008886302	4.894837087104926e-27	['meurtre', 'assassin', 'dover bowers', 'bowers', 'meurtrier', 'dover', 'crime', 'thayer', 'criminel', 'baumann']
108.45847664271575	2.132718127445293e-25	['byram', 'accident', 'police', 'suicide', 'suicidée', 'affee', 'whitcomb', 'enquête', 'conduisait', 'amersham']
98.87410369387045	2.69075063004901e-23	['clément', 'bejardy', 'sécateur', 'brossier', 'pouchet', 'type', 'tchik', 'vandoosler', 'vauquer', 'bonnot']
85.00799520645289	2.971610476331612e-20	['manson', 'piggot', 'betts', 'babcock', 'beckford', 'broadwaters', 'sills', 'véranda', 'phosphore', 'docteur']
82.49586236221955	1.0589156779726723e-19	['knudsen', 'quade', 'thayer', 'boland', 'silverdale', 'patients', 'chantier naval', 'naval', 'psychologue', 'demanda']
75.8502752019476	3.060097693146551e-18	['bataillon', 'biên', 'diên biên', 'diên', 'viets', 'parachutistes', 'compagnie', 'lieutenant', 'légionnaires', 'pc']
73.5193056926135	9.96566583677947e-18	['kif', 'pyanfar', 'jik', 'sikkukkut', 'hakkikt', 'mahendo', 'dieux', 'chanur', 'hilfy', 'haral']
72.15417591111641	1.9902409989417065e-17	['bateau', 'eau', 'navire', 'pont', 'poissons', 'vent', 'sable', 'bord', 'vagues', 'coque']
69.76625545552963	6.676536114458615e-17	['sugar', 'mattone', 'rizzio', 'pepper', 'froggy', 'mastragos', 'rizzio mattone', 'regarde', 'renner', 'winchester']
