LLR_value	p_value	topic_words
326.547100661506	5.43056814511159e-73	['calife', 'tèmudjin', 'maître', 'abassa', 'djamouqa', 'qasar', 'toghril', 'palais', 'kèrèit', 'merkit']
265.7764452919632	9.450200994679541e-60	['pouvais', 'sentais', 'savais', 'mère', 'porte', 'temps', 'chose', 'voyais', 'père', 'corps']
185.42717812052416	3.166225769538215e-42	['rhada', 'prisko', 'djinnih', 'soldat', 'nomade', 'tribu', 'camions', 'yané', 'boïdus', 'nomades']
142.9187738600911	6.123372128117253e-33	['planète', 'espace', 'cemp', 'terre', 'planètes', 'beyle', 'silkies', 'vaisseau', 'système', 'orbite']
138.43437018137513	5.855906124809573e-32	['bataillon', 'biên', 'diên biên', 'diên', 'viets', 'parachutistes', 'compagnie', 'lieutenant', 'légionnaires', 'pc']
131.3220274158365	2.1052756149982237e-30	['allemands', 'français', 'russes', 'armée', 'française', 'général', 'allemand', 'lacenaire', 'révolution', 'ministre']
120.10374875248377	6.003720472018626e-28	['livre', 'livres', 'littérature', 'auteur', 'écrire', 'écrivain', 'œuvre', 'écrit', 'lecteur', 'lire']
94.25719222235995	2.77078155145954e-22	['étrangleur', 'morganna', 'cass', 'kantana', 'devane', 'yassif', 'pygmées', 'brauxton', 'lieutenant', 'femme']
70.2234859413825	5.295223372699438e-17	['brumbaugh', 'bétail', 'ranch', 'seccombe', 'venneford', 'betteraves', 'centennial', 'éleveurs', 'terre', 'skimmerhorn']
66.662353942451	3.222304792092548e-16	['camier', 'parapluie', 'camier veux', 'camier camier', 'hélène', 'loin camier', 'omni', 'conaire', 'camier faut', 'agent']
57.435070629607836	3.4932267875958727e-14	['kif', 'pyanfar', 'jik', 'sikkukkut', 'hakkikt', 'mahendo', 'dieux', 'chanur', 'hilfy', 'haral']
55.52121761998115	9.245568160612153e-14	['juifs', 'juif', 'israël', 'rabbi', 'raverdy', 'rabbin', 'juive', 'israël raverdy', 'egypte', 'hérode']
53.75014297812734	2.2767763690989336e-13	['dis', 'pouvais', 'chose', 'savais', 'yeux', 'mère', 'voulais', 'tête', 'envie', 'voir']
53.51533107005957	2.565826584362605e-13	['michèle', 'braden', 'usine', 'armstead', 'caporal', 'technic', 'fuentès', 'trader', 'makaire bleu', 'makaire']
53.29581146789125	2.8691765912907716e-13	['walt', 'hôpital', 'police', 'demanda', 'phéronomes', 'triss', 'fit', 'type', 'regarda', 'murmura']
52.65401772421487	3.9779629808258036e-13	['mcginnis', 'mme', 'shamus', 'femme', 'sénateur', 'prit', 'irlandais', 'mme manchester', 'lança', 'lèvres']
49.70763175358982	1.784504245014469e-12	['train', 'gare', 'voyageurs', 'métro', 'quai', 'wagons', 'wagon', 'station', 'trains', 'compartiment']
48.714797111791114	2.960245390442569e-12	['delahaye', 'martinov', 'hélène', 'gourdel', 'galerie', 'réparaz', 'rue amsterdam', 'dépôts consignations', 'consignations', 'caisse dépôts consignations']
48.714797111791114	2.960245390442569e-12	['olbram', 'peterborough', 'toilettes', 'lecture', 'offre ténèbres', 'futur', 'présent', 'cœur', 'laraire', 'ténèbres']
47.544526289882626	5.376868326698958e-12	['arbres', 'arbre', 'forêt', 'fleurs', 'feuilles', 'branches', 'plantes', 'terre', 'racines', 'champignons']
43.55332330274563	4.125629741931164e-11	['yudel', 'weizmann', 'majola', 'thandi', 'boutique', 'nieuwenhuysen', 'hymie', 'muntu', 'yudel savait', 'johannesburg']
43.55332330274563	4.125629741931164e-11	['danfield', 'femme', 'murmura', 'regard', 'présent', 'désir', 'compagnon', 'lorsqu', 'colère', 'compagne']
42.54551626942096	6.905638876950318e-11	['gretly', 'nichols', 'winesong', 'géraldine', 'bouloche', 'loney', 'snow', 'newcastle', 'cauldron', 'convent']
41.446749709589554	1.211257846965504e-10	['redcloud', 'jiggs', 'navajo', 'zhdanov', 'mère', 'weaver', 'mister jiggs', 'sourire', 'indienne', 'vieille']
41.16816514424563	1.3967908292168148e-10	['éthel', 'sarramanga', 'strondberg', 'vargas', 'motxoteguy', 'krug', 'moxo', 'vitti', 'remercieras', 'delassane']
40.95312489661154	1.559245009495379e-10	['agnès', 'gimlet', 'sœur', 'intermezzo', 'pouvais', 'dis', 'lorenzaccio', 'montre', 'élèves', 'voulais']
40.13140632059168	2.374407607996861e-10	['radley', 'matthews', 'mère', 'raventhorpe', 'fit', 'bowland', 'ravensdale', 'garçons', 'oddie', 'vacances']
39.58379743988175	3.1427998983247347e-10	['docteur', 'médecin', 'dr', 'infirmière', 'clinique', 'régine', 'malade', 'hôpital', 'lherbier', 'médecins']
38.35292649047749	5.903948547330439e-10	['finch', 'quince', 'tibbett', 'goodman', 'smeed', 'macey', 'hamstone', 'inspecteur', 'bingham', 'commissaire']
38.35292649047749	5.903948547330439e-10	['sandorf', 'nadiège', 'stéphane', 'owemberg', 'précepteur', 'winsky', 'régent', 'volnie', 'astianof', 'pétrow']
38.35292649047749	5.903948547330439e-10	['brago', 'gato', 'rutledge', 'tombstone', 'cheval', 'rancho', 'ranch', 'gato negro', 'negro', 'cass']
37.052827287410445	1.1497175400792425e-09	['cutter', 'skidmore', 'greenville', 'sœur', 'vaches', 'argyle', 'écurie', 'indemnité', 'bêtes', 'femme']
35.75272808434341	2.2401805477884782e-09	['rhéa', 'devlin', 'kilconnell', 'bouviers', 'cessna', 'rhéa cormack', 'maclver', 'cormack', 'voulait', 'sébastian']
35.75272808434341	2.2401805477884782e-09	['manilo', 'corrio', 'viételli', 'hanse', 'ommach', 'desprats', 'halter', 'cité', 'ostrer', 'regarde']
35.29990142735376	2.826463631696465e-09	['jésus', 'objets objets', 'seigneur', 'dieux', 'kernik', 'père', 'jérusalem', 'maligou', 'objets', 'prêtre']
35.29301898251088	2.8364695858085462e-09	['avocat', 'procès', 'jurés', 'tribunal', 'président', 'magistrat', 'affaire', 'audience', 'step', 'témoin']
35.114284271634475	3.109117612703731e-09	['nessie', 'brockmeier', 'plani', 'matthews', 'sonar', 'finch', 'inverness', 'regarda', 'objet', 'chambre']
34.51988440013012	4.219190715294318e-09	['tatav', 'luda', 'jov', 'rakoff', 'harmonium', 'buissonnets', 'lunora', 'bossard', 'crés', 'réfectoire']
34.48932962846173	4.285944336717072e-09	['edmée', 'andré', 'consul', 'andré edmée', 'bonnard', 'masselot', 'shanghaï', 'arquebuse', 'dorigen', 'styron']
34.46405048006868	4.341970988115802e-09	['rue', 'ansart', 'boulevard', 'café', 'hôtel', 'soir', 'himes', 'quartier', 'tournon', 'restaurant']
34.453079928717514	4.366512885817329e-09	['morsi', 'viking', 'saunders', 'déclara', 'spécimen', 'drakkar', 'magnusson', 'poitrine', 'tête', 'nei']
33.80257927974288	6.099793814693149e-09	['miloz', 'ambassadeur', 'pepperdine', 'rembrandt', 'voix', 'caria', 'sourire', 'desprès', 'jansen', 'demanda']
32.159076538018525	1.4205151179601783e-08	['meurtre', 'assassin', 'dover bowers', 'bowers', 'meurtrier', 'dover', 'crime', 'thayer', 'criminel', 'baumann']
31.639425196358616	1.8562262036870453e-08	['chrétiens', 'turcs', 'soldats', 'soldats chrétiens', 'hommes', 'pèlerins', 'fleuve', 'père ascelin', 'ascelin', 'troupes']
31.257429444126352	2.2598100718867516e-08	['peinture', 'peintre', 'tableaux', 'peintres', 'artiste', 'peindre', 'portrait', 'tableau', 'œuvres', 'malmora']
31.202380873608796	2.324807723774774e-08	['burrow', 'merriman', 'manoir', 'developers', 'atlantic developers', 'atlantic', 'barkeley', 'waters', 'domaine', 'rand']
30.92860307680006	2.676971929347161e-08	['bureau', 'police', 'femme', 'heures', 'porte', 'commissaire', 'téléphone', 'demanda', 'secrétaire', 'lettre']
30.76724028113123	2.909077323291576e-08	['fintan', 'maou', 'fleuve', 'onitsha', 'omerun', 'marima', 'maou fintan', 'pikni', 'rodes', 'pont']
